time_in_bed,time_asleep,wakeup_number,hrv,sleep_score
419,419,0,0,60
419,419,0,0,60
411,411,0,90,60
411,411,0,90,60
411,411,0,90,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
470,470,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
468,468,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
17,17,0,120,60
17,17,0,120,60
17,17,0,120,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
459,459,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
429,429,0,101,60
429,429,0,101,60
429,429,0,101,60
480,480,0,0,60
480,480,0,0,60
480,480,0,0,60
480,480,0,0,60
480,480,0,0,60
480,480,0,0,60
480,480,0,0,60
480,480,0,0,60
480,480,0,0,60
480,480,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
403,403,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
100,100,0,0,60
480,480,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
0,0,0,0,60
0,0,0,0,60
0,0,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
470,470,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
397,397,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
459,459,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
411,411,0,111,60
459,459,0,105,60
459,459,0,105,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
444,444,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
416,444,14,0,85
419,444,14,0,85
419,419,0,107,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
446,446,0,0,60
93,93,0,0,60
469,469,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
93,93,0,0,60
470,470,0,84,60
377,377,0,108,60
52,444,13,57,81
52,444,13,57,81
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
393,393,0,128,60
422,422,0,125,60
422,422,0,125,60
428,428,0,0,60
428,428,0,0,60
428,428,0,0,60
428,428,0,0,60
428,428,0,0,60
428,428,0,0,60
428,428,0,0,60
428,428,0,0,60
428,428,0,0,60
428,428,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
424,424,0,75,60
419,419,0,0,60
476,476,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
428,428,0,0,60
428,428,0,0,60
428,428,0,0,60
441,441,0,0,60
500,500,0,95,60
500,500,0,95,60
500,500,0,95,60
0,0,0,0,60
374,374,0,0,60
482,482,0,0,60
482,482,0,0,60
395,395,0,93,60
482,482,0,0,60
466,466,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
176,176,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
479,619,13,0,94
479,619,13,0,94
89,421,9,58,86
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
482,482,0,0,60
119,106,4,84,60
119,106,4,69,60
85,304,6,58,73
394,394,0,72,60
411,411,0,0,60
466,466,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
527,527,0,0,60
